,0
0,100
1,100
2,101
3,102
4,103
5,103
6,103
7,103
8,103
9,103
10,103
11,103
12,103
13,103
14,103
15,103
16,102
17,101
18,100
19,99
20,98
21,97
22,97
23,96
24,95
25,95
26,95
27,95
28,96
29,95
30,96
31,97
32,97
33,98
34,99
35,99
36,100
37,99
38,99
39,98
40,99
41,100
42,99
43,99
44,99
45,100
46,100
47,100
48,100
49,101
50,101
51,102
52,103
53,103
54,103
55,103
56,103
57,103
58,103
59,103
60,103
61,103
62,103
63,103
64,103
65,103
66,103
67,103
68,102
69,101
70,100
71,99
72,98
73,98
74,97
75,96
76,95
77,95
78,95
79,95
80,96
81,96
82,95
83,96
84,97
85,98
86,99
87,99
88,100
89,99
90,100
91,100
92,101
93,100
94,101
95,101
96,102
97,102
98,101
99,101
100,100
101,101
102,102
103,103
104,103
105,103
106,103
107,103
108,103
109,103
110,102
111,103
112,103
113,103
114,103
115,103
116,103
117,103
118,103
119,103
120,103
121,103
122,103
123,102
124,101
125,100
126,99
127,99
128,98
129,97
130,96
131,95
132,96
133,95
134,96
135,96
136,96
137,96
138,97
139,98
140,99
141,100
142,101
143,102
144,102
145,102
146,101
147,100
148,99
149,99
150,98
151,98
152,98
153,97
154,97
155,97
156,97
157,98
158,98
159,98
160,99
161,99
162,100
163,101
164,102
165,102
166,102
167,102
168,102
169,102
170,103
171,103
172,102
173,101
174,100
175,100
176,100
177,101
178,102
179,101
180,101
181,101
182,102
183,102
184,101
185,101
186,100
187,100
188,100
189,99
190,100
191,100
192,100
193,101
194,102
195,102
196,103
197,103
198,103
199,103
200,103
201,103
202,103
203,103
204,103
205,103
206,103
207,103
208,102
209,101
210,100
211,99
212,99
213,98
214,97
215,96
216,95
217,95
218,96
219,95
220,95
221,95
222,96
223,97
224,98
225,99
226,100
227,101
228,102
229,103
230,103
231,103
232,103
233,103
234,103
235,103
236,103
237,103
238,103
239,103
240,103
241,102
242,102
243,101
244,100
245,99
246,99
247,99
248,100
249,99
250,100
251,101
252,102
253,102
254,102
255,102
256,101
257,100
258,100
259,100
260,101
261,100
262,99
263,100
264,101
265,102
266,103
267,103
268,103
269,103
270,103
271,103
272,103
273,103
274,103
275,103
276,102
277,101
278,100
279,100
280,99
281,98
282,97
283,96
284,96
285,95
286,95
287,95
288,95
289,95
290,95
291,96
292,97
293,98
294,99
295,99
296,98
297,98
298,99
299,99
300,99
301,100
302,101
303,102
304,101
305,102
306,103
307,102
308,102
309,102
310,102
311,101
312,101
313,100
314,100
315,100
316,99
317,100
318,99
319,99
320,98
321,97
322,98
323,98
324,99
325,100
326,101
327,101
328,102
329,103
330,103
331,103
332,103
333,103
334,103
335,103
336,103
337,103
338,103
339,103
340,102
341,102
342,101
343,100
344,99
345,98
346,97
347,96
348,96
349,95
350,95
351,95
352,95
353,96
354,96
355,96
356,97
357,97
358,97
359,97
360,97
361,97
362,98
363,99
364,100
365,101
366,101
367,102
368,102
369,102
370,102
371,102
372,103
373,102
374,101
375,100
376,100
377,100
378,100
379,100
380,101
381,102
382,103
383,103
384,103
385,103
386,103
387,103
388,103
389,103
390,103
391,103
392,103
393,102
394,101
395,101
396,100
397,99
398,98
399,97
400,96
401,96
402,96
403,96
404,95
405,96
406,95
407,95
408,96
409,97
410,98
411,99
412,100
413,101
414,102
415,101
416,100
417,99
418,99
419,98
420,98
421,98
422,99
423,99
424,98
425,99
426,98
427,98
428,98
429,99
430,100
431,101
432,102
433,103
434,103
435,103
436,103
437,103
438,103
439,103
440,103
441,103
442,103
443,103
444,103
445,103
446,103
447,103
448,103
449,103
450,103
451,102
452,101
453,100
454,99
455,98
456,97
457,96
458,96
459,95
460,95
461,95
462,95
463,95
464,96
465,95
466,96
467,97
468,98
469,99
470,99
471,100
472,101
473,100
474,99
475,99
476,100
477,101
478,102
479,103
480,102
481,102
482,102
483,102
484,102
485,102
486,102
487,102
488,102
489,102
490,103
491,102
492,103
493,102
494,101
495,102
496,101
497,101
498,101
499,101
