,0
0,103
1,103
2,103
3,103
4,103
5,103
6,103
7,102
8,101
9,100
10,99
11,99
12,98
13,97
14,98
15,98
16,99
17,99
18,100
19,101
20,102
21,103
22,103
23,103
24,103
25,103
26,103
27,103
28,103
29,103
30,102
31,101
32,100
33,99
34,99
35,99
36,99
37,98
38,98
39,99
40,99
41,99
42,100
43,100
44,100
45,99
46,98
47,99
48,99
49,99
50,99
51,99
52,99
53,98
54,98
55,99
56,99
57,99
58,99
59,99
60,98
61,98
62,97
63,97
64,98
65,98
66,98
67,99
68,100
69,101
70,101
71,102
72,102
73,102
74,103
75,103
76,103
77,102
78,102
79,101
80,100
81,100
82,99
83,98
84,98
85,98
86,97
87,97
88,98
89,98
90,98
91,99
92,100
93,100
94,101
95,102
96,103
97,103
98,103
99,103
100,103
101,102
102,102
103,102
104,102
105,101
106,101
107,100
108,99
109,99
110,98
111,98
112,98
113,98
114,98
115,98
116,98
117,98
118,99
119,100
120,101
121,102
122,102
123,103
124,103
125,103
126,103
127,103
128,103
129,102
130,102
131,101
132,100
133,99
134,98
135,98
136,98
137,98
138,98
139,98
140,98
141,98
142,99
143,100
144,101
145,102
146,103
147,103
148,103
149,103
150,103
151,103
152,103
153,102
154,101
155,100
156,100
157,100
158,99
159,98
160,98
161,99
162,99
163,100
164,100
165,99
166,98
167,98
168,98
169,98
170,98
171,98
172,97
173,97
174,98
175,98
176,98
177,98
178,98
179,98
180,99
181,100
182,101
183,102
184,103
185,103
186,103
187,103
188,103
189,103
190,103
191,102
192,102
193,101
194,100
195,99
196,99
197,98
198,97
199,98
200,98
201,99
202,99
203,100
204,101
205,102
206,103
207,103
208,103
209,103
210,103
211,103
212,103
213,103
214,103
215,102
216,102
217,101
218,100
219,99
220,98
221,99
222,99
223,98
224,99
225,99
226,98
227,99
228,99
229,99
230,100
231,99
232,100
233,99
234,98
235,99
236,99
237,98
238,99
239,99
240,99
241,98
242,97
243,98
244,98
245,98
246,98
247,98
248,98
249,97
250,98
251,97
252,98
253,97
254,98
255,98
256,99
257,100
258,101
259,102
260,103
261,103
262,103
263,103
264,103
265,103
266,103
267,103
268,103
269,103
270,102
271,101
272,100
273,100
274,99
275,98
276,97
277,98
278,98
279,97
280,98
281,99
282,100
283,101
284,102
285,102
286,103
287,103
288,103
289,103
290,103
291,103
292,102
293,101
294,100
295,99
296,99
297,98
298,98
299,98
300,97
301,97
302,98
303,98
304,98
305,99
306,100
307,100
308,99
309,100
310,100
311,99
312,98
313,98
314,97
315,98
316,98
317,98
318,99
319,100
320,101
321,101
322,102
323,103
324,102
325,103
326,103
327,102
328,102
329,101
330,100
331,100
332,99
333,98
334,99
335,98
336,98
337,98
338,98
339,98
340,98
341,98
342,98
343,99
344,100
345,101
346,102
347,103
348,103
349,103
350,103
351,103
352,103
353,102
354,102
355,101
356,101
357,100
358,99
359,99
360,98
361,98
362,97
363,98
364,98
365,98
366,99
367,100
368,100
369,101
370,102
371,102
372,102
373,101
374,101
375,101
376,100
377,99
378,99
379,98
380,98
381,98
382,98
383,99
384,99
385,99
386,100
387,101
388,101
389,102
390,103
391,103
392,103
393,103
394,103
395,103
396,102
397,101
398,100
399,99
400,99
401,98
402,98
403,98
404,98
405,98
406,98
407,98
408,99
409,100
410,101
411,102
412,102
413,103
414,102
415,103
416,103
417,102
418,102
419,101
420,100
421,99
422,99
423,98
424,99
425,98
426,98
427,99
428,99
429,100
430,100
431,101
432,102
433,103
434,103
435,103
436,103
437,103
438,102
439,101
440,100
441,100
442,99
443,98
444,98
445,98
446,98
447,98
448,98
449,98
450,99
451,100
452,101
453,102
454,103
455,103
456,103
457,103
458,103
459,103
460,103
461,103
462,102
463,101
464,100
465,100
466,99
467,99
468,98
469,98
470,97
471,97
472,98
473,98
474,98
475,99
476,100
477,101
478,102
479,102
480,102
481,101
482,102
483,102
484,102
485,101
486,100
487,99
488,99
489,98
490,98
491,98
492,98
493,97
494,98
495,99
496,99
497,100
498,101
499,102
