,0
0,98
1,98
2,99
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,101
11,101
12,101
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,99
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,101
31,101
32,102
33,103
34,103
35,103
36,102
37,102
38,101
39,102
40,102
41,101
42,100
43,99
44,98
45,98
46,98
47,98
48,98
49,98
50,98
51,98
52,98
53,98
54,99
55,100
56,101
57,101
58,101
59,101
60,101
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,101
71,101
72,102
73,101
74,101
75,101
76,101
77,101
78,101
79,101
80,101
81,102
82,103
83,102
84,101
85,101
86,101
87,101
88,101
89,101
90,100
91,99
92,98
93,98
94,98
95,98
96,98
97,98
98,98
99,98
100,98
101,98
102,99
103,99
104,99
105,99
106,99
107,99
108,99
109,99
110,100
111,101
112,101
113,101
114,101
115,101
116,101
117,101
118,101
119,101
120,101
121,100
122,101
123,101
124,101
125,101
126,101
127,101
128,101
129,101
130,102
131,101
132,101
133,101
134,102
135,102
136,102
137,101
138,101
139,101
140,102
141,101
142,100
143,100
144,99
145,98
146,98
147,98
148,98
149,98
150,98
151,98
152,98
153,98
154,99
155,100
156,100
157,100
158,100
159,100
160,100
161,99
162,99
163,99
164,99
165,99
166,99
167,99
168,99
169,99
170,100
171,101
172,101
173,101
174,101
175,101
176,101
177,101
178,101
179,102
180,102
181,103
182,103
183,103
184,103
185,102
186,102
187,102
188,102
189,101
190,100
191,99
192,99
193,100
194,101
195,100
196,100
197,100
198,100
199,100
200,101
201,101
202,100
203,99
204,98
205,98
206,98
207,98
208,98
209,98
210,98
211,98
212,98
213,99
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,99
222,99
223,99
224,99
225,99
226,99
227,99
228,99
229,99
230,100
231,101
232,101
233,101
234,101
235,101
236,101
237,101
238,101
239,102
240,102
241,103
242,103
243,103
244,103
245,102
246,102
247,102
248,102
249,101
250,100
251,99
252,100
253,101
254,101
255,100
256,100
257,100
258,99
259,100
260,101
261,100
262,100
263,99
264,98
265,98
266,98
267,98
268,99
269,98
270,98
271,98
272,98
273,99
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,99
282,99
283,99
284,99
285,99
286,99
287,99
288,99
289,99
290,100
291,101
292,101
293,101
294,101
295,101
296,101
297,101
298,101
299,101
300,101
301,102
302,103
303,103
304,102
305,102
306,102
307,102
308,102
309,101
310,101
311,100
312,99
313,98
314,98
315,98
316,98
317,98
318,98
319,98
320,98
321,98
322,99
323,100
324,100
325,100
326,100
327,100
328,100
329,100
330,101
331,101
332,101
333,100
334,100
335,100
336,100
337,100
338,100
339,100
340,100
341,99
342,99
343,99
344,99
345,99
346,99
347,99
348,99
349,99
350,100
351,101
352,101
353,101
354,101
355,101
356,101
357,101
358,101
359,102
360,102
361,103
362,103
363,103
364,103
365,103
366,102
367,102
368,102
369,101
370,100
371,99
372,100
373,101
374,100
375,100
376,99
377,100
378,101
379,100
380,100
381,100
382,99
383,99
384,99
385,98
386,99
387,98
388,98
389,98
390,98
391,98
392,98
393,99
394,100
395,100
396,100
397,100
398,100
399,100
400,100
401,99
402,99
403,99
404,99
405,99
406,99
407,99
408,99
409,99
410,100
411,101
412,101
413,101
414,101
415,101
416,101
417,101
418,101
419,102
420,102
421,103
422,103
423,103
424,103
425,102
426,102
427,102
428,102
429,101
430,100
431,99
432,100
433,101
434,101
435,101
436,100
437,100
438,100
439,101
440,100
441,100
442,100
443,99
444,98
445,98
446,98
447,98
448,98
449,98
450,98
451,98
452,98
453,99
454,100
455,100
456,100
457,100
458,100
459,100
460,100
461,99
462,99
463,99
464,99
465,99
466,99
467,99
468,99
469,99
470,100
471,101
472,101
473,101
474,101
475,101
476,101
477,101
478,101
479,101
480,102
481,103
482,103
483,103
484,103
485,103
486,102
487,102
488,102
489,101
490,100
491,99
492,98
493,98
494,98
495,98
496,98
497,98
498,98
499,98
