,0
0,97
1,97
2,97
3,98
4,97
5,97
6,98
7,98
8,97
9,98
10,98
11,98
12,98
13,99
14,100
15,101
16,102
17,102
18,103
19,103
20,103
21,103
22,103
23,103
24,103
25,103
26,103
27,102
28,102
29,101
30,100
31,99
32,99
33,99
34,98
35,97
36,98
37,98
38,98
39,98
40,99
41,99
42,99
43,99
44,98
45,98
46,98
47,97
48,98
49,99
50,99
51,100
52,101
53,102
54,101
55,102
56,102
57,103
58,102
59,102
60,102
61,101
62,100
63,100
64,99
65,99
66,99
67,98
68,98
69,98
70,99
71,98
72,98
73,98
74,99
75,99
76,98
77,99
78,99
79,99
80,99
81,99
82,98
83,97
84,98
85,97
86,98
87,99
88,100
89,99
90,98
91,99
92,100
93,101
94,101
95,101
96,100
97,100
98,101
99,102
100,103
101,103
102,103
103,102
104,102
105,102
106,103
107,102
108,102
109,101
110,100
111,100
112,101
113,102
114,102
115,102
116,102
117,102
118,102
119,102
120,103
121,102
122,102
123,102
124,102
125,102
126,101
127,101
128,100
129,99
130,99
131,100
132,100
133,99
134,100
135,100
136,101
137,100
138,99
139,98
140,99
141,98
142,99
143,98
144,98
145,98
146,98
147,97
148,98
149,98
150,98
151,99
152,100
153,100
154,101
155,101
156,100
157,101
158,102
159,101
160,100
161,100
162,99
163,98
164,98
165,98
166,98
167,98
168,99
169,99
170,100
171,101
172,101
173,102
174,103
175,103
176,103
177,103
178,102
179,101
180,101
181,101
182,101
183,101
184,101
185,100
186,100
187,101
188,101
189,100
190,100
191,99
192,100
193,99
194,98
195,99
196,99
197,98
198,98
199,98
200,98
201,98
202,97
203,98
204,97
205,98
206,98
207,99
208,100
209,101
210,102
211,103
212,103
213,103
214,103
215,103
216,103
217,103
218,103
219,102
220,102
221,102
222,102
223,102
224,101
225,100
226,100
227,99
228,99
229,99
230,98
231,98
232,98
233,99
234,99
235,99
236,100
237,100
238,100
239,100
240,101
241,100
242,100
243,100
244,99
245,99
246,98
247,98
248,98
249,98
250,98
251,97
252,98
253,98
254,99
255,100
256,101
257,102
258,102
259,103
260,103
261,103
262,103
263,103
264,103
265,103
266,103
267,103
268,103
269,103
270,103
271,103
272,103
273,103
274,102
275,102
276,102
277,101
278,100
279,99
280,99
281,98
282,98
283,98
284,98
285,99
286,98
287,98
288,98
289,98
290,98
291,98
292,98
293,98
294,98
295,97
296,98
297,99
298,100
299,100
300,101
301,102
302,102
303,102
304,101
305,101
306,102
307,102
308,101
309,101
310,100
311,100
312,100
313,100
314,99
315,98
316,98
317,98
318,97
319,98
320,98
321,99
322,98
323,98
324,98
325,99
326,100
327,101
328,101
329,100
330,101
331,101
332,102
333,103
334,103
335,103
336,103
337,103
338,103
339,103
340,103
341,102
342,101
343,100
344,99
345,98
346,98
347,98
348,98
349,98
350,98
351,98
352,99
353,100
354,100
355,101
356,102
357,103
358,103
359,103
360,103
361,103
362,103
363,103
364,102
365,102
366,101
367,100
368,100
369,100
370,100
371,101
372,102
373,101
374,101
375,101
376,101
377,100
378,99
379,99
380,99
381,98
382,98
383,97
384,98
385,97
386,98
387,97
388,97
389,98
390,97
391,98
392,99
393,98
394,98
395,98
396,98
397,98
398,99
399,98
400,99
401,99
402,99
403,100
404,100
405,101
406,102
407,103
408,103
409,103
410,103
411,103
412,103
413,103
414,103
415,103
416,103
417,103
418,103
419,103
420,103
421,103
422,103
423,103
424,103
425,102
426,101
427,101
428,100
429,99
430,99
431,98
432,98
433,98
434,99
435,98
436,98
437,98
438,99
439,100
440,99
441,98
442,98
443,98
444,99
445,98
446,98
447,98
448,99
449,99
450,100
451,101
452,102
453,102
454,101
455,100
456,101
457,102
458,102
459,102
460,103
461,103
462,103
463,103
464,103
465,103
466,103
467,103
468,103
469,102
470,101
471,101
472,100
473,99
474,98
475,98
476,98
477,97
478,98
479,98
480,98
481,99
482,100
483,101
484,101
485,102
486,102
487,102
488,101
489,100
490,100
491,99
492,99
493,99
494,99
495,99
496,98
497,98
498,98
499,98
