,0
0,101
1,102
2,103
3,103
4,103
5,103
6,103
7,103
8,103
9,103
10,103
11,103
12,102
13,101
14,100
15,99
16,98
17,97
18,97
19,96
20,95
21,96
22,95
23,95
24,96
25,95
26,95
27,96
28,97
29,98
30,99
31,100
32,101
33,101
34,100
35,101
36,100
37,99
38,100
39,100
40,101
41,101
42,102
43,101
44,100
45,100
46,100
47,100
48,101
49,100
50,101
51,100
52,101
53,102
54,103
55,103
56,103
57,103
58,103
59,103
60,103
61,103
62,103
63,103
64,103
65,103
66,102
67,101
68,100
69,99
70,99
71,98
72,97
73,96
74,96
75,95
76,96
77,95
78,95
79,95
80,95
81,96
82,96
83,97
84,98
85,98
86,98
87,99
88,98
89,99
90,98
91,99
92,100
93,101
94,102
95,103
96,103
97,102
98,101
99,101
100,100
101,101
102,101
103,102
104,103
105,103
106,102
107,102
108,103
109,103
110,102
111,102
112,102
113,101
114,101
115,101
116,101
117,100
118,101
119,100
120,100
121,99
122,98
123,98
124,98
125,98
126,99
127,100
128,101
129,102
130,103
131,103
132,103
133,103
134,103
135,103
136,103
137,103
138,103
139,103
140,103
141,102
142,101
143,101
144,100
145,99
146,98
147,97
148,96
149,96
150,95
151,96
152,96
153,95
154,95
155,95
156,95
157,96
158,97
159,98
160,99
161,100
162,101
163,101
164,101
165,100
166,101
167,101
168,101
169,102
170,102
171,101
172,101
173,101
174,102
175,103
176,103
177,103
178,103
179,103
180,103
181,103
182,103
183,102
184,103
185,103
186,103
187,103
188,103
189,103
190,103
191,103
192,103
193,103
194,102
195,101
196,100
197,99
198,99
199,98
200,97
201,96
202,95
203,95
204,95
205,95
206,95
207,95
208,95
209,96
210,97
211,98
212,99
213,100
214,101
215,102
216,103
217,103
218,103
219,103
220,103
221,103
222,103
223,103
224,103
225,103
226,103
227,103
228,102
229,101
230,100
231,100
232,99
233,99
234,98
235,98
236,97
237,98
238,98
239,98
240,98
241,98
242,98
243,99
244,100
245,101
246,101
247,102
248,103
249,103
250,103
251,103
252,103
253,103
254,103
255,103
256,103
257,103
258,103
259,103
260,103
261,103
262,103
263,103
264,103
265,103
266,103
267,103
268,103
269,103
270,103
271,103
272,103
273,103
274,103
275,103
276,102
277,101
278,100
279,99
280,99
281,98
282,97
283,96
284,96
285,95
286,95
287,95
288,95
289,95
290,95
291,96
292,97
293,97
294,98
295,98
296,98
297,98
298,98
299,98
300,98
301,98
302,99
303,100
304,100
305,101
306,102
307,103
308,103
309,103
310,103
311,103
312,103
313,103
314,103
315,102
316,101
317,101
318,100
319,99
320,98
321,98
322,98
323,98
324,97
325,97
326,98
327,98
328,98
329,98
330,98
331,99
332,99
333,98
334,98
335,99
336,99
337,100
338,101
339,102
340,103
341,103
342,103
343,103
344,103
345,103
346,103
347,103
348,103
349,103
350,103
351,103
352,103
353,102
354,101
355,100
356,99
357,98
358,97
359,97
360,96
361,95
362,95
363,95
364,95
365,95
366,96
367,96
368,96
369,97
370,98
371,99
372,98
373,98
374,97
375,97
376,98
377,98
378,98
379,98
380,98
381,98
382,98
383,98
384,98
385,98
386,99
387,100
388,100
389,101
390,102
391,103
392,103
393,103
394,103
395,103
396,103
397,103
398,103
399,103
400,103
401,103
402,103
403,103
404,103
405,103
406,103
407,103
408,103
409,103
410,103
411,102
412,101
413,100
414,99
415,98
416,98
417,98
418,98
419,98
420,99
421,100
422,101
423,101
424,102
425,103
426,103
427,103
428,103
429,103
430,103
431,103
432,103
433,103
434,103
435,103
436,103
437,102
438,101
439,100
440,99
441,98
442,97
443,97
444,96
445,95
446,95
447,95
448,95
449,95
450,96
451,95
452,96
453,97
454,98
455,98
456,97
457,97
458,98
459,97
460,98
461,98
462,99
463,100
464,100
465,101
466,102
467,103
468,103
469,103
470,103
471,103
472,103
473,103
474,103
475,103
476,103
477,103
478,103
479,103
480,103
481,102
482,101
483,101
484,100
485,99
486,100
487,100
488,99
489,99
490,98
491,99
492,98
493,99
494,98
495,98
496,98
497,99
498,100
499,100
