,0
0,100
1,99
2,100
3,101
4,100
5,99
6,98
7,98
8,99
9,99
10,99
11,100
12,101
13,102
14,103
15,103
16,103
17,103
18,103
19,103
20,103
21,103
22,103
23,103
24,103
25,103
26,102
27,101
28,100
29,99
30,99
31,98
32,97
33,96
34,96
35,96
36,96
37,96
38,97
39,98
40,98
41,99
42,99
43,99
44,100
45,100
46,101
47,101
48,101
49,101
50,101
51,102
52,103
53,103
54,103
55,103
56,103
57,103
58,103
59,103
60,103
61,102
62,102
63,101
64,100
65,99
66,98
67,97
68,97
69,97
70,96
71,96
72,95
73,96
74,97
75,98
76,98
77,98
78,98
79,98
80,99
81,100
82,100
83,100
84,99
85,98
86,98
87,99
88,100
89,100
90,101
91,102
92,103
93,103
94,103
95,103
96,103
97,103
98,102
99,101
100,100
101,99
102,98
103,98
104,97
105,96
106,96
107,96
108,96
109,97
110,98
111,98
112,99
113,99
114,99
115,98
116,98
117,98
118,99
119,100
120,101
121,102
122,102
123,102
124,101
125,100
126,99
127,99
128,98
129,99
130,100
131,100
132,100
133,99
134,98
135,98
136,97
137,98
138,98
139,97
140,97
141,98
142,99
143,100
144,101
145,102
146,101
147,101
148,101
149,101
150,101
151,102
152,103
153,103
154,103
155,103
156,103
157,103
158,102
159,101
160,101
161,100
162,99
163,98
164,97
165,97
166,96
167,96
168,96
169,97
170,98
171,99
172,99
173,100
174,101
175,102
176,102
177,101
178,100
179,100
180,99
181,98
182,99
183,99
184,100
185,101
186,102
187,103
188,103
189,103
190,102
191,101
192,100
193,100
194,99
195,99
196,98
197,98
198,98
199,97
200,97
201,98
202,98
203,99
204,100
205,101
206,101
207,102
208,103
209,103
210,103
211,103
212,103
213,103
214,103
215,103
216,103
217,103
218,103
219,103
220,103
221,103
222,103
223,103
224,102
225,101
226,102
227,103
228,103
229,103
230,103
231,103
232,103
233,102
234,101
235,100
236,99
237,98
238,97
239,97
240,96
241,97
242,96
243,96
244,96
245,97
246,98
247,99
248,100
249,100
250,101
251,102
252,103
253,103
254,103
255,103
256,103
257,103
258,103
259,103
260,103
261,102
262,102
263,103
264,103
265,103
266,103
267,103
268,103
269,102
270,101
271,100
272,99
273,99
274,98
275,97
276,96
277,95
278,96
279,96
280,96
281,97
282,98
283,99
284,100
285,101
286,102
287,101
288,100
289,99
290,99
291,98
292,98
293,97
294,98
295,98
296,98
297,98
298,98
299,99
300,100
301,101
302,102
303,102
304,102
305,103
306,103
307,103
308,103
309,103
310,103
311,102
312,101
313,101
314,100
315,101
316,102
317,103
318,103
319,103
320,103
321,103
322,102
323,101
324,100
325,99
326,98
327,98
328,97
329,96
330,96
331,96
332,96
333,96
334,97
335,97
336,98
337,99
338,98
339,98
340,98
341,97
342,98
343,99
344,100
345,101
346,102
347,103
348,103
349,102
350,101
351,101
352,100
353,99
354,98
355,98
356,98
357,98
358,97
359,97
360,98
361,98
362,98
363,99
364,99
365,99
366,100
367,100
368,101
369,102
370,103
371,103
372,103
373,103
374,103
375,103
376,102
377,101
378,100
379,99
380,100
381,101
382,102
383,102
384,103
385,103
386,103
387,103
388,103
389,103
390,102
391,102
392,101
393,100
394,99
395,99
396,100
397,101
398,102
399,103
400,103
401,103
402,103
403,102
404,102
405,101
406,100
407,99
408,98
409,97
410,96
411,95
412,96
413,96
414,96
415,97
416,97
417,98
418,99
419,100
420,101
421,102
422,101
423,101
424,100
425,100
426,99
427,99
428,100
429,101
430,102
431,102
432,103
433,103
434,103
435,102
436,101
437,100
438,100
439,99
440,100
441,100
442,101
443,102
444,103
445,103
446,103
447,102
448,102
449,101
450,100
451,99
452,98
453,98
454,98
455,98
456,97
457,98
458,99
459,100
460,101
461,102
462,103
463,103
464,103
465,103
466,103
467,103
468,102
469,101
470,100
471,99
472,98
473,98
474,97
475,96
476,96
477,95
478,96
479,96
480,97
481,98
482,97
483,98
484,98
485,99
486,100
487,100
488,101
489,102
490,103
491,103
492,103
493,103
494,103
495,102
496,101
497,100
498,100
499,100
