,0
0,100
1,100
2,100
3,100
4,100
5,100
6,101
7,101
8,101
9,101
10,102
11,103
12,103
13,102
14,102
15,102
16,101
17,101
18,100
19,100
20,99
21,99
22,98
23,98
24,99
25,98
26,98
27,99
28,98
29,98
30,97
31,96
32,96
33,97
34,98
35,97
36,98
37,98
38,98
39,99
40,98
41,99
42,100
43,101
44,101
45,101
46,101
47,101
48,101
49,102
50,102
51,103
52,103
53,103
54,103
55,103
56,103
57,103
58,102
59,101
60,101
61,100
62,100
63,99
64,99
65,98
66,99
67,100
68,100
69,100
70,99
71,99
72,100
73,99
74,100
75,101
76,100
77,101
78,102
79,101
80,100
81,100
82,100
83,101
84,101
85,101
86,101
87,100
88,101
89,102
90,101
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,99
99,100
100,101
101,101
102,101
103,102
104,101
105,100
106,101
107,100
108,99
109,99
110,98
111,97
112,98
113,97
114,97
115,96
116,97
117,96
118,97
119,98
120,97
121,97
122,98
123,97
124,98
125,99
126,98
127,98
128,98
129,98
130,99
131,100
132,101
133,102
134,102
135,103
136,103
137,103
138,103
139,103
140,103
141,102
142,102
143,101
144,102
145,101
146,100
147,101
148,100
149,101
150,101
151,101
152,100
153,100
154,101
155,101
156,100
157,99
158,99
159,99
160,99
161,98
162,99
163,98
164,97
165,97
166,96
167,96
168,96
169,97
170,97
171,96
172,97
173,97
174,97
175,96
176,96
177,97
178,96
179,96
180,96
181,96
182,96
183,96
184,97
185,97
186,97
187,97
188,98
189,97
190,98
191,97
192,98
193,99
194,100
195,101
196,102
197,103
198,103
199,103
200,103
201,103
202,103
203,103
204,103
205,103
206,103
207,103
208,103
209,103
210,103
211,103
212,103
213,103
214,103
215,103
216,103
217,103
218,103
219,103
220,103
221,103
222,103
223,103
224,103
225,103
226,103
227,103
228,103
229,103
230,103
231,103
232,103
233,103
234,103
235,103
236,103
237,103
238,103
239,103
240,103
241,103
242,103
243,103
244,103
245,103
246,103
247,103
248,103
249,103
250,103
251,103
252,103
253,103
254,103
255,103
256,103
257,102
258,102
259,101
260,101
261,100
262,99
263,100
264,99
265,99
266,98
267,98
268,98
269,99
270,99
271,98
272,99
273,98
274,98
275,98
276,97
277,97
278,97
279,97
280,97
281,97
282,97
283,97
284,97
285,97
286,97
287,97
288,97
289,98
290,97
291,97
292,98
293,98
294,98
295,99
296,100
297,100
298,100
299,101
300,100
301,101
302,100
303,100
304,101
305,101
306,102
307,102
308,101
309,101
310,101
311,101
312,100
313,100
314,99
315,99
316,100
317,100
318,100
319,99
320,99
321,99
322,99
323,99
324,98
325,98
326,99
327,98
328,97
329,97
330,97
331,96
332,97
333,97
334,97
335,97
336,96
337,96
338,96
339,96
340,96
341,97
342,96
343,97
344,96
345,97
346,97
347,97
348,97
349,97
350,98
351,99
352,99
353,100
354,101
355,102
356,103
357,103
358,103
359,103
360,103
361,103
362,103
363,103
364,103
365,103
366,103
367,103
368,103
369,103
370,103
371,103
372,103
373,103
374,103
375,103
376,103
377,102
378,102
379,102
380,102
381,102
382,102
383,102
384,102
385,102
386,102
387,102
388,101
389,100
390,100
391,99
392,99
393,99
394,99
395,99
396,99
397,98
398,99
399,99
400,98
401,99
402,100
403,100
404,100
405,100
406,100
407,100
408,101
409,101
410,102
411,102
412,102
413,102
414,102
415,102
416,102
417,102
418,103
419,103
420,103
421,103
422,103
423,103
424,103
425,103
426,103
427,103
428,103
429,103
430,103
431,103
432,103
433,103
434,103
435,103
436,103
437,103
438,102
439,101
440,102
441,101
442,100
443,100
444,100
445,100
446,100
447,101
448,101
449,102
450,101
451,100
452,100
453,99
454,98
455,98
456,97
457,96
458,96
459,97
460,96
461,96
462,96
463,97
464,96
465,97
466,97
467,97
468,97
469,96
470,96
471,97
472,97
473,98
474,98
475,99
476,100
477,101
478,102
479,103
480,103
481,102
482,102
483,102
484,102
485,101
486,102
487,101
488,102
489,101
490,101
491,100
492,99
493,99
494,99
495,98
496,99
497,100
498,101
499,100
