,0
0,100
1,100
2,99
3,98
4,98
5,99
6,100
7,100
8,100
9,100
10,101
11,100
12,100
13,100
14,100
15,100
16,101
17,102
18,102
19,101
20,100
21,100
22,99
23,98
24,99
25,99
26,100
27,100
28,100
29,100
30,101
31,100
32,100
33,100
34,100
35,100
36,101
37,102
38,102
39,101
40,100
41,100
42,99
43,98
44,99
45,99
46,100
47,100
48,100
49,100
50,101
51,100
52,100
53,100
54,100
55,100
56,101
57,102
58,102
59,101
60,100
61,100
62,99
63,98
64,99
65,99
66,100
67,100
68,100
69,100
70,101
71,100
72,100
73,100
74,100
75,100
76,101
77,102
78,102
79,101
80,100
81,100
82,99
83,98
84,99
85,99
86,100
87,100
88,100
89,100
90,101
91,100
92,100
93,100
94,100
95,100
96,101
97,102
98,102
99,101
100,100
101,100
102,99
103,98
104,99
105,99
106,100
107,100
108,100
109,100
110,101
111,100
112,100
113,100
114,100
115,100
116,101
117,102
118,102
119,101
120,100
121,100
122,99
123,98
124,99
125,99
126,100
127,100
128,100
129,100
130,101
131,100
132,100
133,100
134,100
135,100
136,101
137,102
138,102
139,101
140,100
141,100
142,99
143,98
144,99
145,99
146,100
147,100
148,100
149,100
150,101
151,100
152,100
153,100
154,100
155,100
156,101
157,102
158,102
159,101
160,100
161,100
162,99
163,98
164,99
165,99
166,100
167,100
168,100
169,100
170,101
171,100
172,100
173,100
174,100
175,100
176,101
177,102
178,102
179,101
180,100
181,100
182,99
183,98
184,99
185,99
186,100
187,100
188,100
189,100
190,101
191,100
192,100
193,100
194,100
195,100
196,101
197,102
198,102
199,101
200,100
201,100
202,99
203,98
204,99
205,99
206,100
207,100
208,100
209,100
210,101
211,100
212,100
213,100
214,100
215,100
216,101
217,102
218,102
219,101
220,100
221,100
222,99
223,98
224,99
225,99
226,100
227,100
228,100
229,100
230,101
231,100
232,100
233,100
234,100
235,100
236,101
237,102
238,102
239,101
240,100
241,100
242,99
243,98
244,99
245,99
246,100
247,100
248,100
249,100
250,101
251,100
252,100
253,100
254,100
255,100
256,101
257,102
258,102
259,101
260,100
261,100
262,99
263,98
264,99
265,99
266,100
267,100
268,100
269,100
270,101
271,100
272,100
273,100
274,100
275,100
276,101
277,102
278,102
279,101
280,100
281,100
282,99
283,98
284,99
285,99
286,100
287,100
288,100
289,100
290,101
291,100
292,100
293,100
294,100
295,100
296,101
297,102
298,102
299,101
300,100
301,100
302,99
303,98
304,99
305,99
306,100
307,100
308,100
309,100
310,101
311,100
312,100
313,100
314,100
315,100
316,101
317,102
318,102
319,101
320,100
321,100
322,99
323,98
324,99
325,99
326,100
327,100
328,100
329,100
330,101
331,100
332,100
333,100
334,100
335,100
336,101
337,102
338,102
339,101
340,100
341,100
342,99
343,98
344,99
345,99
346,100
347,100
348,100
349,100
350,101
351,100
352,100
353,100
354,100
355,100
356,101
357,102
358,102
359,101
360,100
361,100
362,99
363,98
364,99
365,99
366,100
367,100
368,100
369,100
370,101
371,100
372,100
373,100
374,100
375,100
376,101
377,102
378,102
379,101
380,100
381,100
382,99
383,98
384,99
385,99
386,100
387,100
388,100
389,100
390,101
391,100
392,100
393,100
394,100
395,100
396,101
397,102
398,102
399,101
400,100
401,100
402,99
403,98
404,99
405,99
406,100
407,100
408,100
409,100
410,101
411,100
412,100
413,100
414,100
415,100
416,101
417,102
418,102
419,101
420,100
421,100
422,99
423,98
424,99
425,99
426,100
427,100
428,100
429,100
430,101
431,100
432,100
433,100
434,100
435,100
436,101
437,102
438,102
439,101
440,100
441,100
442,99
443,98
444,99
445,99
446,100
447,100
448,100
449,100
450,101
451,100
452,100
453,100
454,100
455,100
456,101
457,102
458,102
459,101
460,100
461,100
462,99
463,98
464,99
465,99
466,100
467,100
468,100
469,100
470,101
471,100
472,100
473,100
474,100
475,100
476,101
477,102
478,102
479,101
480,100
481,100
482,99
483,98
484,99
485,99
486,100
487,100
488,100
489,100
490,101
491,100
492,100
493,100
494,100
495,100
496,101
497,102
498,102
499,101
