,0
0,100
1,99
2,98
3,97
4,97
5,97
6,97
7,97
8,97
9,97
10,97
11,97
12,97
13,98
14,99
15,100
16,99
17,99
18,100
19,101
20,101
21,102
22,102
23,101
24,101
25,100
26,99
27,99
28,99
29,98
30,99
31,99
32,100
33,101
34,102
35,102
36,103
37,103
38,103
39,103
40,102
41,101
42,102
43,101
44,100
45,100
46,99
47,98
48,98
49,98
50,98
51,98
52,98
53,98
54,98
55,98
56,98
57,99
58,100
59,100
60,100
61,99
62,100
63,100
64,101
65,102
66,102
67,102
68,102
69,102
70,103
71,103
72,103
73,102
74,102
75,103
76,102
77,101
78,101
79,100
80,100
81,100
82,100
83,99
84,98
85,97
86,97
87,97
88,97
89,97
90,97
91,97
92,97
93,97
94,97
95,98
96,99
97,100
98,101
99,102
100,103
101,103
102,103
103,103
104,103
105,103
106,103
107,103
108,102
109,102
110,101
111,100
112,99
113,99
114,98
115,99
116,99
117,100
118,100
119,99
120,100
121,100
122,100
123,100
124,101
125,101
126,102
127,103
128,103
129,103
130,103
131,103
132,103
133,102
134,102
135,101
136,102
137,102
138,103
139,103
140,102
141,101
142,102
143,101
144,101
145,100
146,99
147,98
148,97
149,97
150,97
151,97
152,96
153,97
154,97
155,97
156,97
157,97
158,98
159,99
160,99
161,99
162,100
163,101
164,101
165,101
166,101
167,100
168,101
169,101
170,100
171,99
172,100
173,101
174,102
175,101
176,101
177,102
178,102
179,103
180,103
181,103
182,103
183,103
184,103
185,102
186,101
187,100
188,99
189,99
190,98
191,97
192,97
193,96
194,96
195,97
196,97
197,97
198,96
199,97
200,98
201,98
202,99
203,99
204,99
205,99
206,99
207,99
208,99
209,100
210,101
211,102
212,101
213,100
214,100
215,100
216,101
217,101
218,102
219,103
220,103
221,103
222,103
223,103
224,103
225,103
226,103
227,103
228,103
229,103
230,102
231,101
232,101
233,101
234,101
235,100
236,99
237,99
238,100
239,100
240,99
241,99
242,98
243,97
244,97
245,97
246,97
247,97
248,96
249,96
250,97
251,97
252,97
253,98
254,99
255,100
256,100
257,101
258,102
259,103
260,102
261,101
262,100
263,100
264,99
265,100
266,101
267,101
268,101
269,100
270,101
271,101
272,101
273,101
274,102
275,101
276,100
277,99
278,100
279,100
280,100
281,100
282,100
283,101
284,101
285,102
286,103
287,103
288,103
289,103
290,103
291,103
292,103
293,102
294,101
295,100
296,99
297,98
298,97
299,97
300,97
301,97
302,97
303,96
304,97
305,97
306,97
307,97
308,98
309,98
310,99
311,98
312,98
313,98
314,98
315,98
316,98
317,99
318,100
319,101
320,102
321,103
322,103
323,102
324,102
325,101
326,102
327,103
328,103
329,103
330,103
331,103
332,103
333,103
334,103
335,103
336,102
337,101
338,100
339,99
340,98
341,99
342,100
343,99
344,99
345,99
346,99
347,99
348,100
349,100
350,101
351,102
352,103
353,103
354,102
355,103
356,102
357,101
358,101
359,100
360,99
361,98
362,98
363,97
364,97
365,96
366,96
367,97
368,97
369,97
370,97
371,98
372,98
373,99
374,100
375,101
376,102
377,102
378,101
379,101
380,101
381,102
382,101
383,102
384,103
385,102
386,102
387,102
388,101
389,101
390,100
391,100
392,99
393,100
394,101
395,102
396,101
397,102
398,102
399,102
400,101
401,101
402,101
403,100
404,99
405,98
406,98
407,97
408,96
409,96
410,96
411,97
412,96
413,96
414,97
415,98
416,99
417,99
418,99
419,99
420,98
421,99
422,99
423,99
424,100
425,101
426,102
427,103
428,103
429,103
430,103
431,103
432,103
433,103
434,103
435,103
436,103
437,103
438,103
439,103
440,103
441,103
442,102
443,101
444,101
445,101
446,101
447,102
448,102
449,102
450,101
451,100
452,101
453,101
454,100
455,99
456,99
457,98
458,97
459,97
460,97
461,97
462,97
463,96
464,97
465,97
466,96
467,97
468,98
469,99
470,99
471,100
472,101
473,101
474,100
475,101
476,100
477,100
478,100
479,100
480,100
481,101
482,102
483,102
484,101
485,101
486,102
487,101
488,101
489,101
490,102
491,103
492,103
493,103
494,103
495,102
496,102
497,103
498,102
499,101
